author,shortTitle,year,x,y,z,axisInfo,category
Goris and Magendane,Taking a historical perspective on the decolonization of aid,2021,4,-4,2,"{'x': {'citation': '“Despite these difficult questions and ongoing complex interlinkages between colonialism and humanitarianism, our conclusion should by no means be the abolishment of humanitarian and development aid. […] In other words, while the current international aid system does have a colonial stain, it is possible to `save the baby`: We can decolonize the international aid system without losing or questioning the fundamental principles of humanitarianism and international solidarity.', 'positioning': 'This quote, while not providing specific recommendations for how development aid can be improved, however it does have a focus on humanitarianism \nframing development work in a way that emphasises solidarity and saving lives. It suggests that changes within development aid need to be made, citing critical perspectives from experts focussing on decolonising development, but does not specify these changes.\nAs such it argues for reform within transformation, but not to the same degree as more aggressively aligned papers, so it lands at a 4. '}, 'y': {'citation': '“True decolonization is achieved through a profound philosophical shift, Taithe explained. And this shift not only pertains to the `coloniser` alone; it also demands the mental decolonization of the formerly colonised and those who are today`s recipients of aid. While formal and institutional decolonization was achieved, for the most part in the middle and late 20th century, this less tangible, social and psychological decolonization is not yet completed. The myth of the `white saviour` and \ncolonial connotations are still present; perpetuated not in the least by the imagery of the poor, starving African that continues to drive the international aid system.”', 'positioning': 'This section calls for systemic dismantling of colonial ties through imagery and language, collective systems of colonisation that still linger in the minds of the formerly colonised, and current recipients of aid as well as those who work on the other side in development organizations.\nThis text calls for a profound shift suggesting transformation at the systemic level.\nIt suggests a collective effort must be made on both ends to disrupt colonial use of colonial mechanisms such as language and imagery placing it at -4.'}, 'z': {'citation': '“True decolonization then, also means that we should not take `the West` as epicentre of humanitarianism. Rather, Western development aid should be understood as one component of a much broader and global collection of efforts, movements and international relations.”', 'positioning': 'This section asserts that Western development practices and systems are not the only institutions capable of dictating development cooperation.\nRather they are just a part of a much larger system, suggesting there is room for Global South voices and practices in the development space.\nThis text acknowledges alternatives to Western development cooperation, however it is not explicit in identifying these alternatives so it lands at a  2 on the Global South side of the axis.'}}",['NGOs/Civil Society']
Apffel.-Marglin et al.,Decolonizing Knowledge,1996,0,-2,8,"{'x': {'citation': '', 'positioning': 'This source does not mention either reform or transformation.'}, 'y': {'citation': '“Although the newly independent Tanzanian state made one of the sharpest ideological breaks with colonialism among Third World nations, its commitment to industrialization and modernization—that is to development—necessarily made empty rhetoric of its pronouncements. By replacing people`s own community-based social and cultural organizations with governmental ones, through such schemes as resettlement and government co-operatives, the state achieved the destruction of the context in which people`s knowledge emerged and could be practised. In the resulting vacuum and atomization, the form of knowledge associated with industrialization and modernization—namely the dominant Western form—encounters little resistance and can even be perceived as the only alternative. It is instructive to note that in the United States a similar destruction of community institutions was the prerequisite for the modernization and industrialization of agriculture.”(p.11)', 'positioning': 'This excerpt highlights the authors` critical analysis of Tanzanian independence, arguing that its emulation of Western modernisation was detrimental because it replaced traditional community-based societal organization. The authors underscore how this approach led to a breakdown of community and cultural knowledge within re-emerging Tanzanian society, thus emphasizing their reverence for alternative community-based social organization, however this sentiment is not explicitly mentioned but rather implied so this ranks it at a -2.'}, 'z': {'citation': '“The knowledge of the experts— engineers, technicians, economists, anthropologists, and many others—can be exported world-wide and applied in varying contexts because of this [premise]. Local knowledge, in contrast, is just that, local. Universality is the privilege of this modern mode of thought. It is this privilege which has enabled this mode of knowing to confidently override local ways of knowing and doing, secure in its ability to deliver superior results. The First World is `developed` and the Third World is `developing` or `underdeveloped`. In these phrases the telos of development stands revealed and the superior results are there already, luring everyone `forward`. Simultaneously, this logic transmutes all alternative visions rooted in local knowledge as going `backwards`, a charge that acquires its clout wholly from a progress- oriented notion of development […] What seems to be emerging at the end of the century is a realization that the price one pays for the goods industrialization and development bring is not only environmental destruction and social fragmentation but the colonization of the mind […]What is at stake is the privilege that this form of thought enjoys due to its claims to universality, not whether it is itself a valuable addition to the repertoire of ways of knowing and doing.”(Ch.1, pp.1-2)', 'positioning': 'This excerpt highlights the colonial perception that Western development models and knowledge are universally applicable while local or indigenous knowledge is widely considered to be outdated and responsible for lack of societal progress according to colonial standards. The authors, however, challenge this belief that this type of modernisation comes at significant environmental, social and psychological costs demonstrating that there is indeed value in local and indigenous knowledge for development without the costs of Western forms of development. As such this source ranks at an 8. '}}",['Academia']
Dutt,No Development (Economics or Studies) Without Decolonisation,2025,2,0,0,"{'x': {'citation': '”For the field of development studies and development economics to be useful and scientific fields of inquiry, it is imperative, then that this Eurocentric edifice be dismantled. The decolonisation of development studies requires departing from any framework that considers as its starting point an idealized experience of endogenous capitalist development in the capitalist centre and makes sense of realities only in relation to it (Dutt et al. 2025). It challenges a teleological view of capitalist development and unravels the apparatus of power through which the centre-periphery dichotomies are constructed and legitimized with the development of capitalism. This means dismantling the dominance of Eurocentric theories, methodologies, and approaches in development studies and to challenge the structural exclusions in development studies that supports and legitimizes Eurocentrism, and in turn, imperialism.”(Ch.1, pp.1-2)', 'positioning': 'In this excerpt, Dutt employs the language of ”dismantling” and ”unraveling” to propose a re-evaluation of the development field. They argue that the existing system is fundamentally compromised by Western capitalist teleologies, which are intentionally homogeneous and thus exclude numerous non-Western contexts. This exclusion, they suggest, leads to flawed development approaches and delegitimizes alternative frameworks, such as those originating in developing nations. The author is critical of the eurocentric approach to development studies and work and acknowledges the need for an alternative system that rejects the current approach, however they do not offer specific tactics for accomplishing this, so it lands at a 2 on the transformation side of the scale.'}, 'y': {'citation': '', 'positioning': 'This source does not mention either reform or transformation.'}, 'z': {'citation': '', 'positioning': 'This source does not mention either reform or transformation.'}}",['Academia']
Khan,Envisioning an alternative ecosystem for global development and humanitarianism.,2023,10,-3,8,"{'x': {'citation': '”This concept paper challenges the terms `decolonisation`, `localisation` and `shift the power`, which have been the stand-out keywords within the heightened discourse in global development and humanitarianism (among many other sectors). It does so by taking a more radical view […]secondly, by considering that it is not a `reimagining` of aid that is necessary, but rather the end of the aid systems—at least as we know them.”(Khan, 2023, p. 5)', 'positioning': 'This excerpt highlights the need for a radical approach to addressing colonial continuities in international development cooperation. It suggests that the end of aid as we know it is necessary to truly decolonise it thus leaning to the reform side of the spectrum at a 10 on the transformation side of the spectrum. '}, 'y': {'citation': 'A Cooperation Framework or mechanism should be developed in terms of how entities in different countries working on similar issues can come together to form coalitions or regional groups.(Khan, 2023, p. 14)', 'positioning': 'In this excerpt the author highlights the need for a framework of cooperation between development entities at the regional level. This suggests a theme of collectivism and thus it ranks at a -3 on this side of the spectrum.'}, 'z': {'citation': 'Cooperation would not cease in this ecosystem. Instead, it would revolve around regional and national coalitions or networks that would represent particular issues and/or regions with similar interests. Instead of `donors` sitting in headquarters in countries of the so-called `Global North`, these coalitions would be based in closer proximity to the location of the cause, e.g., North Africa, or the Caribbean. This would also have the advantage of providing cultural and social compatibility between the financial providers and receivers. Instead of just one form of conventional funding in the form of `aid`, there will be many different types of funding available and means by which to access them. Ultimately, the end result would be a more equitable and ethical system which allows each country to participate based on its own ability to make decisions and utilise its own resources as much as possible.(Khan, 2023, p. 12)', 'positioning': 'This excerpt highlights the authors call for increased cooperation between more similarly aligned–whether political, social, cultural, economic or geographic–states and populations who better understand the needs of one another to be in coalition with one another rather than the traditional North-South approach to development cooperation.This suggests a new kind of collectivism where the South works with the South and less monopoly on dictating development operations and mechanisms from the North thus creating a more equitable and inclusive system of international cooperation. Thus this excerpt ranks at a 8 on the Global South side of the spectrum.'}}",['NGOs/Civil Society']
"Magen Fabregat, Aït-Aïssa and Maiziere",Humanitarian Aid on the Move (The decolonisation of humanitarian aid and localisation: a critical synthesis),2024,4,2,1,"{'x': {'citation': 'Social justice and the safeguarding of the environment cannot be achieved unless local people are involved. This necessitates recourse to the social sciences, to solutions based on nature and culture, and to participative initiatives which take into account the voices of people who are otherwise marginalised. As a result, the entire narrative is transformed: we move from `localisation` to `contextualisation`; we prefer `fellow actors`` to `beneficiaries`; and we evolve from `partnership` towards `alliance`; and we aim to turn `decolonisation` into `shared struggles for emancipation`.” (Saillard, p. 36)', 'positioning': 'This quote highlights the acknowledgment of a need for transformation of the humanitarian aid system and the belief that it can be transformed under current western systems to better meet the needs of recipient states and populations. However, the transformation suggested is very simple and does not examine specific examples to support the claim for transformation unlike some of the sources on the higher end of the spectrum. Thus it ranks at a 4 on the transformation side.'}, 'y': {'citation': '“Thus, our second recommendation is that we must promote the cross-fertilisation of knowledge, investing in research and dialogue with those who have local skills and expertise, and giving a voice to lived knowledge and skills” (p. 34)', 'positioning': 'This excerpt highlights a call for collective and inclusive thinking toward humanitarian aid that takes into account the experiences of those in recipient states. Thus it suggests a greater need for a collective approach that transcends the borders of the donor state and donor organizations. However there is no explanation as to how this should be done or specific areas in which the humanitarian aid should become more inclusive so it is not as compelling as some of the other texts on the farther side of the spectrum. As such it ranks at a 2.'}, 'z': {'citation': '“Thus, our second recommendation is that we must promote the cross-fertilisation of knowledge, investing in research and dialogue with those who have local skills and expertise, and giving a voice to lived knowledge and skills” (p. 34)', 'positioning': 'This excerpt suggests a need to incorporate local knowledge and skills, with the implication that these differ from Western knowledge, skills and approaches thus giving the impression that they are fundamentally unique to recipient states and populations, and perhaps even incorporate indigenous thinking. However, this is not explicit, so it ranks at a 1on the Global South side of the spectrum.'}}",['NGOs/Civil Society']
Passa,Humanitarian Aid on the Move (Decolonising aid: a complex process of renewing international solidarity),2023,5,0,0,"{'x': {'citation': '“Rethinking the international solidarity movement requires a change of paradigm, going beyond assistance in building reciprocal partnerships between international and national actors. It requires our liberation from project mode, and from bureaucratic or management imperatives, and the transformation of `recipients` into `active agents` regarding public policy choices and modalities. We need to rebuild international aid based on solidarity and equality as part of a wider vision of historical justice and recognition of cultural diversity.” (Saillard, p. 61)', 'positioning': 'This excerpt suggests that a shift in paradigm is necessary to decolonise development cooperation and that the current system is inherently biased toward western systems of neocolonialism from which recipient states need to be liberated. The language of rebuilding thus and paradigm change thus make it rank at a 5 on the transformation side of the spectrum.'}, 'y': {'citation': '', 'positioning': 'This source does not mention either reform or transformation.'}, 'z': {'citation': '', 'positioning': 'This source does not mention either reform or transformation.'}}",['NGOs/Civil Society']
Shikwati,"Aid, Development: Why Africans Must Dream and Go out ",2000,-1,-1,1,"{'x': {'citation': '“Africans need to adopt the imagery of surviving in a “global jungle” where all interactions are driven by cut-throat interests. The ultimate goal of all external powers` involvement in Africa is to satiate their short-term and long-term commercial and security interests.” (Shikwati, p. 371)', 'positioning': 'This quote suggests that rather than transforming the development aid system, the African continent should accept it for what it is–“cut-throat” and selfishly motivated–and figure out strategies to develop and pursue and protect its own interests as a continent and amongst the individual nations. While critical of the current aid system the author does not reject it, rather suggesting working within the current system rather than transforming it, so this source lands at a -1 on the spectrum.'}, 'y': {'citation': '“Africans cannot run away from engaging other countries and regions. This calls for a strategy of engagement. To effectively manage its relations with other regions, the people of Africa must evolve a development model that draws from its experience with the West, emerging economies and its traditions. The development model should make it easier to address internal impediments to growth, such as low productivity, high transaction costs, poor market access and unfavorable investment climate. It is important therefore to nurture the culture of know-how and know-why in order to skillfully navigate and manage domestic and global interests.” (Shikwati, p. 375)', 'positioning': ""The author contends that while Western powers have historically exploited development aid to advance their own interests in Africa, African nations create their own opportunities for greater agency while still in collaboration with traditional donor nations to establish conditions that primarily benefit themselves. This perspective, while critical of donor states, places the onus on African states to work cooperatively amongst themselves as well as with these donors to ensure development aid genuinely serves the recipients' interests. This perspective thus ranks at a -1 on the collective side.""}, 'z': {'citation': 'African countries must proactively seek to build their own market systems based on freedom of choice to facilitate judicious exploitation of their resources', 'positioning': 'In this excerpt the author highlights the need for African states to create their own opportunities for growth and development, however it suggests that they have the capacity to do so in the current system, not recognizing the barriers created by current colonial continuities in development aid cooperation to achieve this. Thus this source ranks at a 1 in the Global South side.'}}",['Academia']
Goris and Magendane,Transformational solidarity: the journey towards decolonising development cooperation June 2021,2021,-3,-1,5,"{'x': {'citation': 'On the contrary; development cooperation operates within, and at the same time perpetuates, a much broader (colonial) system. Unpacking development cooperation in this fashion it becomes clear that it is not development cooperation itself but the system in which it is embedded that needs to be decolonised.” (“Transformational solidarity: the journey towards decolonising development cooperation”)', 'positioning': 'This excerpt suggests that the development cooperation in itself is not influenced by colonial continuities but rather the system in which it manifests (i.e., Western hegemony) and thus it can still be improved through decolonization of the system itself. However the authors are still highly critical of the colonial systems which is at odds with their argument that development cooperation so this source ranks at a -3.'}, 'y': {'citation': 'The people in the global South are not mere recipients or beggars holding up a bowl. They are people full of ideas, creativity, and agency, able to co-create solutions to their own challenges […] true transformative approach to decolonisation requires from INGOs in the global North that they scale down and become smaller, allowing for their Southern national and regional colleagues to take the lead.” (“Transformational solidarity: the journey towards decolonising development cooperation”)', 'positioning': 'This excerpt highlights the call for collective action on the part of the Global South to share their knowledge and expertise to challenge colonial continuities and Global North perceptions of how development cooperation should be conducted. It also posits that the North needs to make room for the Global South to engage in this capacity underscoring the cooperative shifts in agency that must take place for decolonising development cooperation. Thus this source ranks at a -1 on the collective side of the spectrum since it is for increasing intra-Global south cooperation but also cooperation between the South and the North. '}, 'z': {'citation': '[...] we must determine how power can effectively be shifted to the South. To answer that question, again, the North must take a step back. `We need to hear from the leaders of the Global South, without shifting the burden on them,`” (“Transformational solidarity: the journey towards decolonising development cooperation”)', 'positioning': 'This quote suggests that the Global North needs to take a step back from leading development cooperation and that there needs to be more room made Global South expertise. As well the authors highlight that this must be done in a supportive role so as not to rest the burden of such decolonizing work solely on Global South experts. The source still suggests cooperation with the Global North so it ranks at a 5.'}}",['NGOs/Civil Society']
Ziai,Postcolonial critique of economic development -,2023,10,-9,3,"{'x': {'citation': 'If one is serious about poverty reduction, however, one has to take the unavoidable step from reforming development cooperation to reforming global capitalism. The massive net transfer of wealth from the South to the North, which amounts to 1 trillion dollars annually according to estimates (Griffiths, 2014), cannot be stopped or compensated by that part of ODA that actually goes to the recipient countries, and which is no more than one-tenth of this sum. Thus, to ameliorate global inequality, one would have to deal with questions of world trade, debt service, repatriated profits by multinational corporations and illicit financial flows by elites on the one hand, and remittances through labour migration and reparations for colonialism on the other.” (Ziai, 2023, p. 381)', 'positioning': 'This excerpt suggests that not only does the system of economic development aid need to be changed but that the global capitalism, which is the root of the issue, also needs to be changed, thus highlighting that the global culture of those donor states is inherently flawed and must be completely reset to actually benefit those on the recipient side. Given the explicit use of current development cooperation systems, this source ranks at a 10 on the transformation side.'}, 'y': {'citation': '“Reforms in development cooperation concerning participation, ownership and empowerment are by no means new, but they have always remained within the limits of the institutional setting. In recent years, demands for reforms have included awareness training concerning colonialism and racism or the distribution of vouchers to communities that they can spend on projects by development agencies, thus creating a genuine market for these actors  the latter being in line with an empowerment understood as that of a paying customer demanding value for money already used as a justification for privatization in the World Development Report 2000/2001” (Ziai, 2023, p. 381)', 'positioning': ""This excerpt criticizes how efforts to decolonize development cooperation are ineffective despite their ongoing existence, normally only occurring at the institution level and not addressing the greater culture of neo-colonialism at the state level which promotes the ideals of exclusion, racism and prescriptionary action which said reforms seek to address. The author suggests that these attempts at inclusion and empowerment ultimately promote and further rationalize the privatization of development aid which creates the problem of colonial continuities in development cooperation in the first place. As such, the author's criticism highlights a greater need for larger scale activity toward empowerment and inclusion beyond development cooperation institutions to achieve real change, thus ranking it at a -9 on the collective side of the spectrum.""}, 'z': {'citation': '“The concept of `provincializing Europe` points out that in social science, European thinkers have coined concepts based on European experiences but claiming universal validity. Although they often prove useful for non-European thinkers as well, to treat these concepts as universal has limiting effects, excluding non-European alternatives. To provincialize Europe would thus mean to reveal the historicity, contingency and particularity of these concepts.” (Ziai, 2023, p. 375).', 'positioning': 'This excerpt highlights how current development cooperation relies largely on Western ideals and tends not to leave room for Global South knowledge or perspectives. The author notes a sense of universalism which when applied to recipient states is often to their detriment rather than benefit. As such, the author implies that greater global south knowledge should be included in development cooperation rhetoric, however this is not made explicit. As such, this source ranks at a 3 on the Global South side of the scale.'}}",['Academia']
"Webb, et al.",Power Footprint Learning Report,2024,-1,-1,5,"{'x': {'citation': 'Through self-assessment, regular monitoring, and public sharing of power footprints, international organizations can actively contribute to building more diverse, equitable, and inclusive social good industries while addressing the inherent power imbalances within the sector. The Power Footprint initiative emerged from a crucial realization within WeRobotics: localization initiatives and discussions have a distinct need to confront the unchecked influence of Global North-led international organizations.” (Webb et al., 2)', 'positioning': 'This excerpt highlights the issue of a power imbalance in development cooperation that favours the Global North and the negative impacts within the Global South without explicitly mentioning the linkage to colonialism. It suggests that development cooperation must be improved to be more equitable and that this starts by distributing power more evenly across all stakeholders both in the North and South. As such it suggests working within the existing system and thus, ranks at a -1 on the reform side of the scale.'}, 'y': {'citation': '“Recognizing the centrality of relationship-building in this endeavor, the next organization leading this initiative must approach this role with a strategic focus on cultivating strong, collaborative networks to propel the initiative forward.” (Webb et al., 13) ', 'positioning': 'This excerpt highlights the importance of collaboration from a variety of stakeholders to successfully achieve the goal of monitoring, evaluating and shifting power within development cooperation to make it more equitable. However the extent of this collectivism remains largely at the institution level so the source ranks at a -1 on the collective side of the spectrum.'}, 'z': {'citation': '“The dismissal of research from the Global South perpetuates disparities in knowledge production and dissemination between the Global North and South. This reinforces a hierarchical system where knowledge generated in the Global North is often privileged over that from the Global South, contributing to the marginalization of Southern scholars and perpetuating colonial legacies.” (Webb et al., 7)', 'positioning': 'This excerpt draws attention to the historical neglect of Global South knowledge by the Global North within development cooperation discourse. The authors highlight the resulting power imbalance that occurs as a result of invalidating Southern knowledge and thus negatively affecting development efforts occurring within the Global South. Here they explicitly mention the resulting perpetuation of colonial legacies that occurs, suggesting that there is a need to rebalance knowledge systems within development work to incorporate more Global South knowledge. As such, this source ranks at a 5 of the Global South side of the spectrum. '}}",['NGOs/Civil Society']
Ali and Romain Murphy,Black Lives Matter is also a reckoning for foreign aid and international ,2020,9,-9,-9,"{'x': {'citation': 'Calls to reform institutions that are founded on, and perpetuate, unequal and violent global structures is futile. We should learn from the BLM movement that abolition is not abandonment. Instead, DEFUNDING AND DISSOLVING these institutions is the most effective step towards building a new system that is truly based on equity and justice. The countries of the Global South can help to create alternative institutions that are based on solidarity, and that benefit all.', 'positioning': 'In this excerpt the authors say that defunding and dissolving the development aid system and its institutions is the only way to improve development work in the Global South. The system as it is does not effectively address inequity and injustice, and thus must be transformed to truly do so and benefit recipient states. As such this source ranks at a 9 on the transformation side of the spectrum.'}, 'y': {'citation': 'Every person in the aid and development sector must start by questioning our own complicity in unjust systems that lack accountability to communities. As ARUNDHATI ROY STATES, “Charity douses anger with pity…Charity keeps the structures in place.” We must ensure that our voices are not silenced by money. We cannot be armchair activists and support those on the streets while leading our own, separate, comfortable lives. Accountability to the communities we serve starts with questioning our own complicity in poverty, injustice and disempowerment.', 'positioning': 'This excerpt highlights the importance of collective action toward decolonizing development aid institutions and the system as a whole. The authors suggest that this must be done via every individual within the system and all levels and within all facets, whether on the donor or recipient side. A more collectively critical set of stakeholders will help catalyze change these inherently flawed systems of development and cooperation that currently lack accountability. As such this source ranks at a -9.'}, 'z': {'citation': 'To enact notions of solidarity and truly shift power to local communities, a reckoning requires new board leadership and senior management that represent the communities that INGOs and other aid organizations claim to serve. Funding must be prioritized and disbursed much more widely to those on the frontlines of social justice and movement building.', 'positioning': 'In this excerpt the authors call for greater inclusion of frontline workers and community level representatives in development activities to best advocate and understand the needs of the recipient states and communities. This essentially means greater inclusion of members of the recipient states or Global South. Thus this source ranks at a -9 on the Global South side of the spectrum.'}}",['NGOs/Civil Society']
